,percentages
1506,only 15%
1507,0.91%
1508,above 16%
1509,1.54 percent
1510,37.1 percent
1511,Seven percent
1512,more than 12 percent
1513,2.257%
1514,roughly 11 percent
1515,15-16%
1516,some 47 percent
1517,10.16 percent
1518,roughly 27 percent
1519,5% to 10%
1520,more than 99 percent
1521,the 6.2%
1522,51.8 percent
1523,about 92 percent
1524,matrimony.65%
1525,92.3%
1526,28.125%
1527,20 and 50 percent
1528,17.82 percent
1529,49.5%
1530,76%
1531,2.31 percent
1532,at least 4.0%
1533,eight - 10 percent
1534,rate:6.00 percent
1535,18.75%
1536,only 1.2 percent
1537,about six percent
1538,below 2.5%
1539,as low as 0.5%
1540,a record 74.1 percent
1541,0.1% to 3.5%
1542,about 63%
1543,443%
1544,-1 percent
1545,about 44%
1546,28.2 percent
1547,as much as 0.4%
1548,an additional 7 percent
1549,about 14%
1550,the 0.5%
1551,only around 0.3%-0.4%
1552,8.375 percent
1553,33 to 51 percent
1554,99 to 99.5 percent
1555,around 17%
1556,60-80%
1557,90.5%
1558,about 0.2 percent
1559,"3,700%"
1560,more than 10%
1561,54.5 percent
1562,about 84%
1563,as low as 6.7 percent
1564,49 percent
1565,more than five percent
1566,1.41%
1567,above 8%
1568,1.53%
1569,1% to 2%
1570,11.4%
1571,78% to 22%
1572,31.3 percent
1573,68.2%
1574,between 12% and 20%
1575,nearly 3.4 percent
1576,The remaining 45%
1577,5.38% to 7.91%
1578,135%
1579,about 0.3%
1580,23.4%
1581,4.83 percent
1582,10.9%
1583,between 4% and 5%
1584,0.2 percentage points to 3.6%
1585,an average 16 percent
1586,26.7 percent
1587,Just 19%
1588,53.2 percent
1589,5.4 percent
1590,over 50 percent
1591,an additional 0.2%
1592,about 20%
1593,1.5% to 2%
1594,Forty-six percent
1595,a record
1596,only about 14 percent
1597,above 15 percent
1598,0.30 percent
1599,2% and 20%
1600,6.1%
1601,98.3%
1602,13%-38%
1603,2-3 percent
1604,roughly 25%
1605,63.7%
1606,2.5-3%
1607,177.37%
1608,-13%
1609,-0.82 percent
1610,8.48 percent
1611,9.7 percent
1612,3.72%
1613,-12%
1614,below 40 percent
1615,about 80 percent
1616,47.7 percent
1617,38.2 percent
1618,19.15%
1619,below 3 percent
1620,9 percent to 15 percent
1621,51.5 percent
1622,higher than 160%
1623,some 20 percent
1624,5.49 percent
1625,A 1% to 2%
1626,above 3 percent
1627,up to 3%
1628,9.44 percent
1629,up to 15 percent
1630,at least 24%
1631,9.25 percent
1632,11.75%
1633,a little more than 2 percent
1634,approximately 0.4%
1635,almost 10 percent
1636,5.15%
1637,"51,6%"
1638,2% to 5%
1639,more than 120 percent
1640,a record 49.6%
1641,23%
1642,357%
1643,only about 20%
1644,almost 40%
1645,2014/15 to 10%
1646,some 25 percent
1647,minus 0.005 percent
1648,just 0.25 percent
1649,60.5 percent
1650,1.29 percent
1651,a fraction of one
1652,approximately 21.59%
1653,about 8 percent
1654,up to 16%
1655,5%-15%
1656,almost 1 percent
1657,18%
1658,9.7%
1659,more than 41/2%
1660,the estimated 2.8 percent
1661,~1.5%
1662,That's4.63%
1663,21.25%
1664,124%
1665,0%-5%
1666,28.45%
1667,Roughly 95 percent
1668,0.00 % to 0.25%
1669,19.3%
1670,nearly 9%
1671,more than 70%
1672,some 78%
1673,only about 3 percent
1674,0.79%
1675,only 1.67%
1676,about 37 percent
1677,11.5%
1678,3-4%
1679,nearly 75 percent
1680,93.7 percent
1681,around 23%
1682,no more than 7 percent
1683,nearly 18 percent
1684,an average 7% to 8%
1685,about 8.9%
1686,16.3 percent
1687,0.48 Percent
1688,just 32 percent
1689,about about 11.6%
1690,just under 65%
1691,its entire 40 percent
1692,25.5 percent
1693,-5.6%
1694,ROE)(1)was 10.9%
1695,over 4.5%
1696,between 39% and 56%
1697,an estimated 5 percent
1698,49%
1699,less than 25%
1700,around 4.6%
1701,54-55%
1702,nearly 1000 percent
1703,up to 51.9 percent
1704,below zero percent
1705,1.45 percent
1706,Analysts estimated 61.9%
1707,almost 72%
1708,Seventy percent
1709,20.3%
1710,146 percent
1711,a1.1%
1712,7% to 8%
1713,only 0.71%
1714,Only 5%
1715,between 24 percent and 36 percent
1716,About 44 percent
1717,fewer than 10%
1718,up to 2.292 percent
1719,1.2% to 1.3%
1720,Only 14 percent
1721,49% to 51%
1722,12.7 percent
1723,only 1.75%
1724,2.8 - 3.0%
1725,54-46%
1726,an estimated 30%
1727,17 %
1728,706%
1729,17% and
1730,52.3 percent
1731,60-100 percent
1732,3 Percent
1733,31 percent
1734,about 90%
1735,2.01%
1736,7.6% to 5.8%
1737,around 73%
1738,about 59 percent
1739,6.5 percent to 10 percent
1740,12.83%
1741,.995%
1742,Only 69%
1743,19.7%
1744,below 1%
1745,1.4%
1746,39.6%
1747,+22.4%
1748,2.81%
1749,Nearly 47 percent
1750,the to 10%
1751,~55%
1752,25.6 percent
1753,4Q00 to 2.8%
1754,another 2.82%
1755,173%
1756,just over 7 percent
1757,only 12 percent
1758,twenty-one percent
1759,between 3% and 3.5%
1760,3.2%
1761,17.6%
1762,8.0-8.5%
1763,Only 8.5%
1764,65.49%
1765,above 52.1 percent
1766,44.6%
1767,7.84%
1768,2.3%-to-2.6%
1769,2.6131 percent
1770,2.6858%
1771,slightly more than 20%
1772,below 2.0%
1773,over 8.26 percent
1774,79.1%
1775,37.8 percent
1776,about 37%
1777,6.24%
1778,more than 450 percent
1779,approximately 3.7%
1780,9.65%
1781,49.9%
1782,Thirty-seven percent
1783,1.0 percent
1784,1.85 percent
1785,up to 12.2%
1786,.27%
1787,50-70 percent
1788,Approximately 8%
1789,3.84 percent
1790,by17%
1791,was61%
1792,12%-14%
1793,an estimated 2.0%
1794,less than 0.2 percent
1795,around 0.5 percent
1796,only 3.1%
1797,approximately negative 19%
1798,20%
1799,more than 45%
1800,83.5%
1801,above 50 percent
1802,nearly 4%
1803,a 6%
1804,nearly 1.0%
1805,a20%
1806,65 to 50%
1807,Sixty-two percent
1808,12%-15%
1809,between 8 and 15 percent
1810,nearly 40%
1811,"80,000 X 80%"
1812,about 0.25%
1813,more than 94 percent
1814,9.5 percent
1815,5.4%-5.6%
1816,only about 4 percent
1817,36.5 million(8%
1818,1.0% to 0.75%
1819,29.4%
1820,5.1% to 2.6%
1821,over 160%
1822,the remaining 30%
1823,Only 30%
1824,as little as ~1%
1825,26.23 percent
1826,a 1.2 percent
1827,between 17% and 19%
1828,0.718%
1829,around7%
1830,2.648 percent
1831,an estimated 2.9%
1832,around 90%
1833,3.0 percent
1834,30% or 50%
1835,5.7 percent
1836,another 8.6%
1837,64.9%
1838,about 5 percent
1839,23.6%
1840,"10,000%"
1841,eight and nine percent
1842,2.229 percent
1843,~25%
1844,roughly 70 percent
1845,up to 40%
1846,2.5 to 9 percent
1847,27.3 percent
1848,nearly nine percent
1849,up to 9%
1850,204 percent
1851,nearly 60 percent
1852,60 to 70%
1853,24.7 percent
1854,another 2.5 percent
1855,-7.6%
1856,approximately 2%
1857,the 50%
1858,Thirty-four percent
1859,more than 43%
1860,10.4%
1861,1.5 percent
1862,just 52 percent
1863,65.2%
1864,greater than 0.05%
1865,91.0%
1866,"almost 16,000%"
1867,approximately 1%
1868,15 percent and 50 percent
1869,Only about a percent
1870,Only 16 percent
1871,60 percent
1872,44.7 percent
1873,Only about 75 percent
1874,more than 56%
1875,3.00%
1876,51.1%
1877,41 percent
1878,7% to 22%
1879,An estimated 97%
1880,Around 27 percent
1881,13.43%
1882,2.67 percent
1883,49.07%
1884,13.7% to 13.6%
1885,7.58%
1886,the 14.7%
1887,1.75%
1888,just 2.25 percent
1889,19.3 percent
1890,our 51%
1891,nearly 1.0 percent
1892,62.6%
1893,2.424 percent
1894,low below 2.35 percent
1895,90.6%
1896,Only about 19% to 21%
1897,41.2%
1898,1.98%
1899,5.825%
1900,16.87 percent
1901,around 66.5%
1902,99.5%
1903,change:3.5 percent
1904,over 8 percent
1905,-41.6%
1906,only 6.6%
1907,34.7 percent
1908,39% to 32%
1909,only about 35 percent
1910,20.0%
1911,the 130%
1912,25% to 30%
1913,2.6% to 2.1%
1914,20-32%
1915,just 0.15 percent
1916,as low as 3.11%
1917,only 20 percent
1918,around 39 percent
1919,41%
1920,Just 12 percent
1921,the 18 percent
1922,the remaining 49 percent
1923,11.6%
1924,27.5%
1925,over 37%
1926,about 7.5 percent
1927,as high as 22.5 percent
1928,+3.1%
1929,2.55%
1930,below 40%
1931,just 0.28%
1932,6.37%
1933,85.7%
1934,37.3%
1935,91.9% to 97.5%
1936,41.78 percent
1937,84.3%
1938,15% to 16.5%
1939,the 65 percent
1940,4Q to 7%
1941,roughly 5% to 10%
1942,0.28%
1943,11.45 percent
1944,between 15 and 25 percent
1945,the 1.9%
1946,only 44%
1947,as low as 42%
1948,1.0 %
1949,5.53%
1950,close to 10%
1951,6.07%
1952,almost 3 percent
1953,just six percent
1954,the 9%
1955,about 6 percent to 6.5 percent
1956,a negative 0.1 percent
1957,over 400 percent
1958,nearly 48 percent
1959,roughly 60 percent
1960,6.34%
1961,Only 37%
1962,53% to 47%
1963,nearly 8.0 percent
1964,~40%
1965,50% to 60%
1966,about 1.4%
1967,the remaining 8 percent
1968,1.16 percent
1969,a record 27 percent
1970,4.53 percent
1971,30.6%
1972,2.33 percent
1973,5.63 percent
1974,between 3 percent and 5 percent
1975,only 5 percent
1976,just 8%
1977,nearly 95 percent
1978,0-0.2%
1979,as much as 51%
1980,6.87 percent
1981,1 to 3 percent
1982,only 0.97%
1983,-7.72%
1984,9.0 percent
1985,0.6 percent
1986,between 250% and 600%
1987,more than 28.5 percent
1988,4.348%
1989,about 35%
1990,28.7%
1991,about 23 percent
1992,nearly 30 percent
1993,30.9 percent
1994,13.5%
1995,0.79 percent
1996,a more than 2.3%
1997,about -2.5%
1998,around 1.8%
1999,only 51.8 percent
2000,just 18%
2001,95.9%
2002,7.2 percent
2003,only 18.8%
2004,4.23%
2005,just 1.0%
2006,6%7%
2007,0.24 percent
2008,as much as 41%
2009,2.42%
2010,almost 20 percent
2011,up to 7 percent
2012,7.94%
2013,2.5 percent
2014,83%
2015,up to 8%
2016,about 2.56%
2017,another 9.1%
2018,About 70 percent
2019,1.1% to 2.2%
2020,just 0.85%
2021,just 12.7%
2022,9.89%
2023,roughly 2%
2024,just 0.8%
2025,a more than 30%
2026,-19%
2027,4.32 percent
2028,March+12.4%
2029,230 %
2030,low-30%
2031,52%
2032,just over 3%
2033,About 60 percent
2034,just 0.6 percent
2035,12.26 percent
2036,9.5%
2037,398%
2038,88.4%
2039,6.75%
2040,8.3%
2041,up to 0.2 percent
2042,30-50 percent
2043,Forty-two percent
2044,35.1 percent
2045,approximately 11%
2046,2.85%
2047,thirty percent
2048,almost 0.6%
2049,around 2.12%
2050,about 83%
2051,7.3 percent
2052,around 7.7%
2053,2.525 percent
2054,99.7%
2055,0.12 percentage points
2056,the 93%
2057,the 9.6%
2058,19.5 percent
2059,at least 1%
2060,over 2.2 percent
2061,203%
2062,another 1.6%
2063,"4,100.63,-0.72%"
2064,H2 to 7.3%
2065,7%-to-11%
2066,8.40%
2067,only 16%
2068,as much as 15%
2069,About 4 percent
2070,more than 72 percent
2071,Only 10%
2072,just 36.5%
2073,21.1 percent
2074,12.9%
2075,32.4 percent
2076,43% to 12%
2077,between 20 and 25 percent
2078,only one percent
2079,at least 40 percent
2080,more than 1.0 percent
2081,a more than 9%
2082,up47%
2083,roughly 1%
2084,up to 27.5 percent
2085,28.37%
2086,12% to 20%
2087,4.50 percent
2088,45% to 30%
2089,1020%
2090,0.3-0.9%
2091,About 52 percent
2092,7.8 percent
2093,87 percent
2094,about 11.4 percent
2095,well over 50%
2096,as high as 4.58%
2097,2.6% to 1.4%
2098,329 percent
2099,9.77%
2100,over 7.5%
2101,4.0%
2102,just 50%
2103,up to 100 percent
2104,just 14.32 percent
2105,around10%
2106,21.5%
2107,"5,000%"
2108,12.1 percent
2109,0.75%
2110,11.9 percent
2111,an estimated 75%
2112,141.2 percent
2113,as much as 18 percent
2114,74% to 91%
2115,49.7%
2116,4.87%
2117,just 13.4 percent
2118,about 77%
2119,at least 75%
2120,22.62%
2121,Almost 90%
2122,the 9.00%
2123,57.2%
2124,under 2.2%
2125,just 2.2 percent
2126,3.6%
2127,roughly 85%
2128,about 1.3%
2129,approximately 8.5%
2130,1.94%
2131,just 49%
2132,above 50.5 percent
2133,another 15 percent
2134,only 39%
2135,additional 8%
2136,Forty-nine percent
2137,Over 50%
2138,6.42 percent
2139,43.6%
2140,like over 90%
2141,1.77% to 1.67%
2142,~66%
2143,4.5 percentage points
2144,Forty-three percent
2145,about 2.0%
2146,-0.3%
2147,18 to 22 percent
2148,above 13 percent
2149,48.3%
2150,about 0.31 percent
2151,just 5.0%
2152,1.87%
2153,half to 0.5 percent
2154,0.03 percent
2155,Seventeen percent
2156,12.08%
2157,62.5%
2158,72.1 percent
2159,9.85 percent
2160,"89,400 %"
2161,around 13 percent
2162,15% - 20%
2163,as much as 35%
2164,more than 10.7 percent
2165,10-12 percent
2166,1200%
2167,more than 2 percent
2168,about -6%
2169,lags 74 percent
2170,38%
2171,13%-15%
2172,6.7 percent
2173,1.7% to 2.3%
2174,3.50%
2175,2.68%
2176,5-1/2 percent
2177,up to 1 percent
2178,30 to 300 percent
2179,The next 10%
2180,just 0.20%
2181,About 30 percent
2182,2.9% to 3.2%
2183,almost 28 percent
2184,above 90%
2185,-0.5 percent
2186,almost 2%
2187,0.939 percent
2188,above 3.5%
2189,negative 2.75%
2190,29.3%
2191,3.34%
2192,a little over 15%
2193,0 to 10 percent
2194,an estimated 21%
2195,above 2%
2196,around 55 percent
2197,42%
2198,Q4 to 6.1%
2199,Just 13 percent
2200,144%
2201,about 2.3%
2202,Roughly 60 percent
2203,another close to 40%
2204,only 42%
2205,1.69 percent
2206,0f 0.6%
2207,less than 5%
2208,147%
2209,about 27 percent to 43 percent
2210,as around 4%
2211,14.4 percent
2212,roughly 4 percent
2213,25.5%
2214,7.35%
2215,10 to 12 percent
2216,-2.3%
2217,A tiny 1.8%
2218,2.35 percent
2219,8.7%
2220,just 3.4 percent
2221,38.7 percent
2222,up to 3.9%
2223,2.5-6.5%
2224,the 99 percent
2225,4.3%
2226,just 47 percent
2227,4.82 percent
2228,About 22%
2229,up to 0.3 percent
2230,more than 71%
2231,"1,100%"
2232,+33.1%
2233,50.4%
2234,more than 64 percent
2235,to29%-76%
2236,15-20 percent
2237,53.3 percent
2238,12.78 percent
2239,acquired&nbsp;72%
2240,a negative 0.2%
2241,a negative 2 percent
2242,roughly 8.7%
2243,7.09%
2244,between 20 and 40 %
2245,3.44%
2246,-5.7%
2247,approximately 10%
2248,55.6%
2249,73.2%
2250,0.6% to 6.5%
2251,an abysmal 2.3%
2252,5.1%
2253,the 1.3%
2254,under 60%
2255,10.75%
2256,40.5%
2257,About 68 percent
2258,3 - 7%
2259,4.3 percent
2260,about 48 percent
2261,the 28.1%
2262,1.80%
2263,the 3 percent to 5 percent
2264,60 - 70 percent
2265,2.85 percent
2266,2025%
2267,only 1.0%
2268,minus 8%
2269,the remaining 40 percent
2270,over 22 percent
2271,0%-0.25%
2272,over 12%
2273,up to 78.5 percent
2274,nearly 33%
2275,some 10 percent
2276,about less than 2%
2277,7%
2278,4.18%
2279,+19%
2280,1 to 5 percent
2281,around 63 percent
2282,up to 2.64%
2283,100 plus percent
2284,11%-12%
2285,only 22 percent
2286,around 48 percent
2287,up to 6 percent
2288,Only about 30 percent
2289,"over 8,000 percent"
2290,3.59 percent
2291,At least 25 percent
2292,2.161%
2293,just 11 percent
2294,over 52.8 percent
2295,just less than 30%
2296,~4.0%
2297,between 1.4% and 1.9%
2298,75.5 percent
2299,3.262 percent
2300,roughly 15 percent
2301,0.2 and 0.1 percent
2302,just a few %
2303,another 1.9 percent
2304,an additional 5.6%
2305,more than 5.9%
2306,as much as 1.9 percent
2307,-1.03%
2308,74.4%
2309,below 14 percent
2310,the 6 percent to 8 percent
2311,nearly 35%
2312,0.15 to 0.35 percent
2313,32.3 percent
2314,minus 1%
2315,approximately 3 percent
2316,6.12 percent
2317,at least 40%
2318,about 1.1%
2319,56.4 percent
2320,28 to 43 percent
2321,74%
2322,roughly 6%
2323,30.4%
2324,no more than 4 percent
2325,at least 20 percent
2326,12.31%
2327,Fewer than 1 percent
2328,three percent
2329,more than 27%
2330,about 57%
2331,only 3.0%
2332,Fewer than20%
2333,0.315 percent
2334,about 5%
2335,8.5% to 9.5%
2336,80-90%
2337,415%
2338,52% to 44%
2339,approximately 55 percent
2340,67.5%
2341,130%
2342,83% to 75%
2343,2.827%
2344,10-25%
2345,only 6 percent
2346,+0.33%
2347,+5.3%
2348,53.7 percent
2349,about 3%
2350,the 35%
2351,nearly 1.6%
2352,25.3%
2353,the 39 percent
2354,up to 6.2 percent
2355,CorporationSBUX+0.55%
2356,above 31 percent
2357,sub-5%
2358,9.75%
2359,22.5 percent
2360,about 11 percent
2361,just 0.04%
2362,+7.5%
2363,8.62%
2364,approximately 72.4 percent
2365,450 percent
2366,a more than 40 percent
2367,11.2%
2368,+13.5%
2369,about 80%
2370,around 0.20 percent
2371,over 35%
2372,84.8%
2373,just over 4 percent
2374,14.1%
2375,just 5.4%
2376,2.71%
2377,a full 33%
2378,up over 400%
2379,more than 29 percent
2380,only 6.7%
2381,at least 1.1 percent
2382,1.93 percent
2383,83 percent
2384,an additional 3.5 percent
2385,217%
2386,around 2% to 2.5%
2387,about 1.6 percent
2388,2.97%
2389,+15.9%
2390,no more than 0.01%
2391,as low as 2.184%
2392,1 to 4 percent
2393,2.5% to 2.75%
2394,5.57 percent
2395,almost 1.4%
2396,an extraordinary 91 percent
2397,6.4 percent
2398,0.1 percentage point
2399,45.6%
2400,141% percent
2401,59.5%
2402,around 2.4 percent
2403,above 51.2 percent
2404,71.6%
2405,3.9% to 4.1%
2406,between 3% and 3.4%
2407,66.6%
2408,33.8%
2409,59%-41%
2410,about 7 percent
2411,nearly 100 percent
2412,just 31%
2413,73.8 percent
2414,a percent
2415,2.37%
2416,the 0.3%
2417,207%
2418,at2.83%
2419,7.4 percent
2420,as much as 0.5%
2421,34.7%
2422,-5.9%
2423,-0.011%
2424,another 1.5%
2425,25%
2426,nearly 60%
2427,19.9 percent
2428,27.7 percent
2429,0.16%
2430,roughly 40 percent
2431,as little as 4%
2432,more than 0.25%
2433,less than ten percent
2434,between 4 and 16 percent
2435,5.46%
2436,around 75%
2437,74.8 percent
2438,"64,279 7%China"
2439,just 27%
2440,50.6%
2441,11.3%
2442,barely 3 percent
2443,10% to 13%
2444,10 and 21 percent
2445,Just 11%
2446,between 1-3%
2447,over 55 percent
2448,0.82%
2449,98.5 percent
2450,3.5% to 4%
2451,"Getty1,436.45%"
2452,71.8 percent
2453,1.182%/1.257%
2454,83.9 percent
2455,close to 5%
2456,90%
2457,only 11%
2458,just 1.7%
2459,at least 6 percent
2460,3.16 percent
2461,6.5-8.5 percent
2462,1.7 percentage points
2463,as much as 7.8 percent
2464,15 percent to 18 percent
2465,another 3.6%
2466,up to 5 percent
2467,2.4412 percent
2468,23.2 percent
2469,just roughly 15%
2470,the other 44%
2471,roughly 14%
2472,between 2.0% and 2.5%
2473,between 25% to 35%
2474,0.74%
2475,-0.6%
2476,8.1%
2477,only 0.9%
2478,11.82 percent
2479,110 percent
2480,1.43 percent
2481,only 2.8%
2482,14.26%
2483,+20.2%
2484,up to 73 percent
2485,2.8% to 3.0%
2486,a10 percent
2487,And46%
2488,approximately 87%
2489,3.3%
2490,"1,400%"
2491,between 3.5% and 5%
2492,just 4.2 percent
2493,just 0.06%
2494,only 0.73%
2495,32.5 percent
2496,the 1.8%
2497,11 percent
2498,above 70%
2499,16.12%
2500,59%
2501,just 24 percent
2502,2.946%
2503,43.03%
2504,about 73 percent
2505,33.6%
2506,one half of 1%
2507,2.25-2.3%
2508,Seventy-eight percent
2509,0.375%
2510,about 53%
2511,5.25 percent
2512,2.349 percent
2513,just 4.5%
2514,about 85 percent
2515,-0/9%
2516,just 0.07%
2517,just over 5%
2518,more than 66%
2519,104.2 percent
2520,3.91 percent
2521,six - seven percent
2522,up to 2.2%
2523,ROE)(1)was 11.0%
2524,7.52%
2525,4.28%
2526,8.2% to 7.4%
2527,just 31 percent
2528,nearly 93 percent
2529,18.11%
2530,about 46 percent
2531,at least 90 percent
2532,53.5%
2533,-7.54%
2534,Some 71 percent
2535,-1.41%
2536,Ninety-seven percent
2537,56.3 percent
2538,Nearly 4%
2539,over 18%
2540,More than 70%
2541,approximately 1.5 percent
2542,up to 1.8%
2543,8.2%
2544,2.75%
2545,+3.3%
2546,38 percent
2547,about 39%
2548,as high as 12%
2549,as 25%
2550,about eighty percent
2551,nearly 21%
2552,15.9%
2553,about 11.5 percent
2554,Ninety-five percent
2555,above 60 percent
2556,up to 7.3%
2557,+55.7%
2558,5.39 percent
2559,about 5.3 percent
2560,only 41 percent
2561,A little over 12%
2562,up to 60%
2563,Only four percent
2564,2.25%
2565,just 1.4 percent
2566,just below 36%
2567,65 to 51 percent
2568,4.07%
2569,10 - 15%
2570,an additional 5%
2571,a little over 2 percent
2572,about 9.3%
2573,-7.5%
2574,30-40 percent
2575,49.2%
2576,just under 60 percent
2577,0% to 0.25%
2578,77 percent
2579,less than 13 percent
2580,35% to 39.6%
2581,12.40%
2582,nearly 36 percent
2583,39.5 percent
2584,about eight percent
2585,13.4 percent
2586,2.28%
2587,1.26%
2588,1-1/4 percent
2589,17.6 percent
2590,7.50%
2591,almost 30 percent
2592,nearly 45 percent
2593,-0.1%
2594,.15-.35%
2595,Just 15.2 percent
2596,1.45%
2597,as much as 11.2%
2598,between 30% and 50%
2599,294%
2600,2 percent
2601,-5.8%
2602,85-80 percent
2603,11.42 percent
2604,up to 33.3%
2605,less than 8 percent
2606,12 to 14 percent
2607,almost percent
2608,around 70 percent
2609,5% to 6%
2610,85% to 15%
2611,more than one percent
2612,-5.2%
2613,0.99%
2614,1.6% to 2.6%
2615,5.9% to 6.2%
2616,less than 12%
2617,1-2 percent
2618,only around 13 percent
2619,another -13%
2620,above 5.5 percent
2621,about 20 percent
2622,6.19%
2623,around 7.1 percent
2624,as much as 7%
2625,4.89%
2626,Some 84 percent
2627,18.75 percent
2628,over 6%
2629,to2%
2630,some 12%
2631,3.4% to 3.9%
2632,More than 40 percent
2633,about 0.8 percent
2634,another 27.2 percent
2635,almost 7.4%
2636,53.3%
2637,a half percent
2638,0.73 percent
2639,35% to 38%
2640,about 65%
2641,38.5%
2642,319 percent
2643,17.74%
2644,just 49.1%
2645,1.06%
2646,240%
2647,140.1%
2648,1.4% to 1.9%
2649,nearly 19%
2650,over 2.5 percent
2651,46.59%
2652,3.14 percent
2653,Well over 90 percent
2654,approximately 76%
2655,655%
2656,approximately 15.6%
2657,around 2.25 percent
2658,about 5.5%
2659,ROE)(1)was 8.1%
2660,between 10% and 30%
2661,0.86%
2662,15.0 percent
2663,-4.9%
2664,0.8%
2665,only roughly 40%
2666,the 4.5%
2667,growth289.6%
2668,up to 5.2%
2669,another 2.18%
2670,-0.17%
2671,about 283%
2672,More than 31 percent
2673,Only 70%
2674,nearly 15%
2675,-0.47%
2676,some 80%
2677,2.99%
2678,just 2.6 percent
2679,1.6-1.9%
2680,only about 37%
2681,4.13%
2682,847%
2683,at least 8%
2684,near-90%
2685,3.26%
2686,only 7.1%
2687,1952.Household percent
2688,TechProResearch60%
2689,Roughly 29 percent
2690,Blazer 33%
2691,just 1.2 percent
2692,Just under 25 percent
2693,2.9 percentage
2694,as much as 130%
2695,between 1 and 2 percent
2696,below 2.5.0%
2697,20.5 percent
2698,4% and 6%
2699,0.65 percent
2700,2.6179%
2701,20.5%
2702,910%
2703,+61%
2704,about 3.0 percent
2705,about 6.7%
2706,between 1.1% and 1.3%
2707,57.5%
2708,7.25 to 7.50 percent
2709,30-45%
2710,as much as 2.2%
2711,fewer than 7 percent
2712,2.88 percent
2713,almost30%
2714,3-3.8%
2715,about 5.7%
2716,53.0 percent
2717,4.88 percent
2718,27.8%
2719,6.5-8%
2720,that to 50%
2721,2.462 percent
2722,about 6.6 percent
2723,less than 60 percent
2724,65.4 percent
2725,41.5%
2726,98.9 percent
2727,around 2.65%
2728,477 percent
2729,7.0%
2730,"more than 1,000%"
2731,around 7.8 percent
2732,about 3.1%
2733,barely above 59%
2734,36.1 percent
2735,as high as 2.62%
2736,"7,000%"
2737,Some 62%
2738,18.19 percent
2739,only 6.8 percent
2740,above 160% to 175%
2741,better than 45%
2742,-2.70%
2743,0.29 percent
2744,nearly 23%
2745,approximately 18.5 percent
2746,the 3.6%
2747,5.11%
2748,some 60 percent
2749,7.6 - 7.7%
2750,Sub-2.0 percent
2751,a record 6.7 percent
2752,24.041%
2753,nearly 75%
2754,1.08%
2755,50 to 80 percent
2756,about 58%
2757,as high as 49 percent
2758,just 15.9%
2759,nearly 9 percent
2760,26.1%
2761,more than 19%
2762,49.5 percent
2763,80.72%
2764,56.2%
2765,9.06%
2766,as much as 100%
2767,just 30%
2768,5.44 percent
2769,285%
2770,just 42 percent
2771,up to 16.6%
2772,about -2.3%
2773,19.07%
2774,127.3%
2775,-7.67%
2776,an average 22%
2777,at least 75 percent
2778,0.61 percent
2779,just 0.55 percent
2780,202%
2781,greater than 50%
2782,up to 3.38 percent
2783,One-hundred percent
2784,-6%
2785,lower than 25 percent
2786,fewer than 50%
2787,155 percent
2788,almost 17 percent
2789,9.41 percent
2790,Only 74%
2791,Over 93%
2792,24.2%
2793,Fifty-seven percent
2794,between 40 and 60%
2795,roughly 4%
2796,286%
2797,mid 30 percent
2798,59.6 percent
2799,away 56 percent
2800,2.47%
2801,25%-30%
2802,14.75 percent
2803,2.34%
2804,average 42 percent
2805,20.6 percent
2806,up to 7.9%
2807,70 percent
2808,10.7 percent
2809,-0.5%
2810,4.36 percent
2811,1.5 to 2 percent
2812,under 2 percent
2813,3.53%
2814,20 percent to 35 percent
2815,just 40 percent
2816,5 to10 percent
2817,between 10% to 15%
2818,close to 15 percent
2819,2.76%
2820,under 90%
2821,10% to 30%
2822,less 4%
2823,12 percent
2824,34.6 percent
2825,1.1% to 1.4%
2826,0 to 0.25%
2827,10-30%
2828,between 5.8% and 8.1%
2829,between 1.5% and 2.5%
2830,63%
2831,some 2.2%
2832,3.53 percent
2833,the next 40%
2834,Only 20%
2835,only about 2.5%
2836,lower than seven percent
2837,an astounding 85%
2838,30 to 50 percent
2839,only 2.9 percent
2840,the 12 percent
2841,The 99%
2842,-0.09%
2843,as low as 1.12 percent &lt;DE10YT
2844,56.25%
2845,5-7%
2846,nearly 22%
2847,at least 5 percent
2848,10.36 percent
2849,just 1.4%
2850,an additional 15%
2851,about 12.5%
2852,another 136%- 314%
2853,24 percent
2854,0.7% to 4.8%
2855,0.1-0.2%
2856,about -20%
2857,2.5-2.7 percent
2858,less than 138%
2859,a better than 20%
2860,2.44%
2861,28.0%
2862,10-15 percent
2863,Three percent
2864,6 100%
2865,at least 2%
2866,450%
2867,The 50% and 62%
2868,5%-10%
2869,just 112%
2870,3.25 percent
2871,14.6%
2872,More than 95%
2873,18.9%
2874,Some 22%
2875,up to 0.65 percent
2876,up to 77.8%
2877,approximately 67%
2878,Sixty-seven percent
2879,only approximately 25%
2880,more than 62%
2881,only 72%
2882,2.11%
2883,as much as 50%
2884,More than 99 percent
2885,an estimated 3 percent
2886,almost 55%
2887,42.4%
2888,0.709 percent
2889,above 30%
2890,10.39%
2891,147 percent
2892,around 8.5%
2893,some 20%
2894,around 0.5%
2895,another 2.3%
2896,around 13%
2897,below 59.3 percent
2898,Another 30%
2899,1.22/15.76%
2900,below 70%
2901,more than 0.01%
2902,86.9 percent
2903,7.5% to 8%
2904,as much as 31%
